company,country,plan,mrr,users,churn_rate,nps_score,founded,active
Acme Corp,USA,Enterprise,12400,342,2.1,72,2019-03-15,yes
Borealis AI,Canada,Growth,4800,89,3.4,65,2020-07-22,yes
Cirrus Cloud,UK,Starter,890,14,8.2,48,2021-11-01,yes
Drift Labs,Germany,Enterprise,18750,521,1.2,81,2018-05-10,yes
Ember.io,Australia,Growth,6200,167,2.9,68,2020-01-30,yes
Folio Tech,Japan,Starter,350,8,12.1,41,2022-04-18,yes
Galactic SaaS,USA,Enterprise,31000,890,0.8,88,2016-09-03,yes
Helix Systems,France,Growth,5100,112,3.1,70,2019-12-14,yes
Ironclad Data,Canada,Enterprise,22600,644,1.5,79,2017-06-28,yes
Juno Analytics,Brazil,Starter,1200,27,6.8,55,2021-08-07,yes
Kova Platform,India,Growth,3700,81,4.2,61,2020-10-19,yes
Lattice Works,Netherlands,Enterprise,14900,398,1.9,74,2018-02-25,yes
Metaform,USA,Growth,7800,201,2.6,77,2019-07-11,yes
Nexus AI,UK,Enterprise,28400,712,1.1,85,2017-03-17,yes
Orbit Cloud,Singapore,Starter,680,11,9.7,44,2022-01-05,yes
Praxis Labs,USA,Enterprise,19200,503,1.6,80,2018-11-22,yes
Quantico,Sweden,Growth,4400,96,3.8,63,2020-05-30,yes
Radiant IO,Mexico,Starter,520,9,11.3,39,2022-06-14,yes
Spectral,USA,Enterprise,41200,1102,0.6,92,2015-04-07,yes
Tundra Systems,Norway,Growth,5600,130,2.7,71,2019-09-18,yes
Umbra Analytics,Germany,Starter,940,18,7.4,52,2021-03-29,yes
Vortex Cloud,USA,Enterprise,33700,941,0.9,87,2016-07-15,yes
Waveline,South Korea,Growth,6800,178,2.4,75,2019-11-04,yes
Xenith Tech,Israel,Enterprise,16300,437,1.7,76,2018-08-20,yes
Yellowbird,Australia,Starter,410,7,13.5,36,2022-09-12,no
Zenotype,Canada,Growth,3200,71,5.1,58,2021-02-17,yes
Arista Net,USA,Enterprise,25800,688,1.3,83,2017-10-09,yes
Bloom Data,UK,Starter,760,13,9.2,47,2022-07-23,yes
Cascade AI,France,Growth,4900,107,3.5,66,2020-04-16,yes
Datavoid,Netherlands,Enterprise,20100,554,1.4,82,2017-12-31,yes
